state,state_name,page_type,tier,name,population,latitude,longitude,url_slug,include_reason
CA,California,city,Core,Merced,82436,37.30216,-120.48297,/{segment}/ca/merced/,pop>=50k
CA,California,city,Core,Lakewood,81611,33.85363,-118.13396,/{segment}/ca/lakewood/,pop>=50k
CA,California,city,Core,Tustin,80583,33.74585,-117.82617,/{segment}/ca/tustin/,pop>=50k
CA,California,city,Core,Mountain View,80435,37.38605,-122.08385,/{segment}/ca/mountain-view/,pop>=50k
CA,California,city,Core,Napa,80434,38.29714,-122.28553,/{segment}/ca/napa/,pop>=50k
CA,California,city,Core,Sylmar,79614,34.30778,-118.44925,/{segment}/ca/sylmar/,pop>=50k
CA,California,city,Core,Pleasanton,79510,37.66243,-121.87468,/{segment}/ca/pleasanton/,pop>=50k
CA,California,city,Core,Alameda,78630,37.77099,-122.26087,/{segment}/ca/alameda/,pop>=50k
CA,California,city,Core,Bellflower,78441,33.88168,-118.11701,/{segment}/ca/bellflower/,pop>=50k
CA,California,city,Core,Chino Hills,78309,33.9938,-117.75888,/{segment}/ca/chino-hills/,pop>=50k
CA,California,city,Core,Milpitas,77604,37.42827,-121.90662,/{segment}/ca/milpitas/,pop>=50k
CA,California,city,Core,Baldwin Park,77071,34.08529,-117.9609,/{segment}/ca/baldwin-park/,pop>=50k
CA,California,city,Core,Upland,76443,34.09751,-117.64839,/{segment}/ca/upland/,pop>=50k
CA,California,city,Core,Folsom,76375,38.67796,-121.17606,/{segment}/ca/folsom/,pop>=50k
CA,California,city,Core,San Ramon,76134,37.77993,-121.97802,/{segment}/ca/san-ramon/,pop>=50k
CA,California,city,Core,Manteca,75448,37.79743,-121.21605,/{segment}/ca/manteca/,pop>=50k
CA,California,city,Core,Perris,74971,33.78252,-117.22865,/{segment}/ca/perris/,pop>=50k
CA,California,city,Core,Union City,74494,37.59577,-122.01913,/{segment}/ca/union-city/,pop>=50k
CA,California,city,Core,Turlock,72292,37.49466,-120.84659,/{segment}/ca/turlock/,pop>=50k
CA,California,city,Core,Apple Valley,72174,34.50083,-117.18588,/{segment}/ca/apple-valley/,pop>=50k
CA,California,city,Core,Lynwood,71989,33.93029,-118.21146,/{segment}/ca/lynwood/,pop>=50k
CA,California,city,Core,Redlands,71035,34.05557,-117.18254,/{segment}/ca/redlands/,pop>=50k
CA,California,city,Core,Rancho Cordova,71017,38.58907,-121.30273,/{segment}/ca/rancho-cordova/,pop>=50k
CA,California,city,Core,Mira Mesa,70000,32.9156,-117.14392,/{segment}/ca/mira-mesa/,pop>=50k
CA,California,city,Core,Woodland Hills,70000,34.16834,-118.60592,/{segment}/ca/woodland-hills/,pop>=50k
CA,California,city,Core,Pittsburg,69424,38.02798,-121.88468,/{segment}/ca/pittsburg/,pop>=50k
CA,California,city,Core,Walnut Creek,68910,37.90631,-122.06496,/{segment}/ca/walnut-creek/,pop>=50k
CA,California,city,Core,Northridge,68469,34.22834,-118.53675,/{segment}/ca/northridge/,pop>=50k
CA,California,city,Core,Redondo Beach,68166,33.84918,-118.38841,/{segment}/ca/redondo-beach/,pop>=50k
CA,California,city,Core,Yorba Linda,67973,33.88863,-117.81311,/{segment}/ca/yorba-linda/,pop>=50k
